lemma,language_code,status
talk about sb,en,PENDING
talk about sth,en,PENDING
talk on the phone,en,PENDING
tell me all about it.,en,PENDING
tell the truth,en,PENDING
tend to be sth,en,PENDING
tend to do sth,en,PENDING
thank you,en,PENDING
thank you very much,en,PENDING
thanks to sb,en,PENDING
thanks to sth,en,PENDING
that day,en,PENDING
that is,en,PENDING
that’s a good idea!,en,PENDING
that’s it,en,PENDING
the 19th century,en,PENDING
the 20th century,en,PENDING
the 21st century,en,PENDING
the alarm went off.,en,PENDING
the bad things about sth,en,PENDING
the best thing,en,PENDING
the best thing to do,en,PENDING
the best... in the country,en,PENDING
the case,en,PENDING
the extent to which...,en,PENDING
the fact that...,en,PENDING
the first thing,en,PENDING
the first thing i did,en,PENDING
the first time in history,en,PENDING
the following day,en,PENDING
the following...,en,PENDING
the good things about sth,en,PENDING
the important thing,en,PENDING
the last time,en,PENDING
the lights went off.,en,PENDING
the most important thing,en,PENDING
the next day,en,PENDING
the other side of sth,en,PENDING
the other side of the world,en,PENDING
the rest of sth,en,PENDING
the rest of the world,en,PENDING
the train got in late.,en,PENDING
the vast majority of sth,en,PENDING
there are,en,PENDING
there are those who say...,en,PENDING
there is,en,PENDING
there is no way ...,en,PENDING
there is no way that...,en,PENDING
there was,en,PENDING
there were,en,PENDING
these days,en,PENDING
they say you can’t buy,en,PENDING
they say...,en,PENDING
think about sb,en,PENDING
think about sth,en,PENDING
think of sb,en,PENDING
think of sth,en,PENDING
this afternoon,en,PENDING
this evening,en,PENDING
this is my dad.,en,PENDING
this is...,en,PENDING
this kind of...,en,PENDING
this morning,en,PENDING
this summer,en,PENDING
this time,en,PENDING
this weekend,en,PENDING
this year,en,PENDING
those who...,en,PENDING
thousands of...,en,PENDING
throw sth away,en,PENDING
to date,en,PENDING
to do with sb,en,PENDING
to do with sth,en,PENDING
together with,en,PENDING
too bad,en,PENDING
too far,en,PENDING
too hard,en,PENDING
too long,en,PENDING
too many,en,PENDING
too much,en,PENDING
town centre,en,PENDING
try and...,en,PENDING
turn into sth,en,PENDING
turn out,en,PENDING
turn out to be sth,en,PENDING
turn sth off,en,PENDING
turn sth on,en,PENDING
turn sth up,en,PENDING
tv show,en,PENDING
unable to do sth,en,PENDING
up against sth,en,PENDING
up and down,en,PENDING
up to 60 miles per hour,en,PENDING
up to sb,en,PENDING
up to sth,en,PENDING
wait for sb,en,PENDING
wait for sth,en,PENDING
wake up,en,PENDING
way of life,en,PENDING
welcome to sth,en,PENDING
well known,en,PENDING
what about...?,en,PENDING
what are you plans for next,en,PENDING
what kind of music do you,en,PENDING
what sorts of things do you,en,PENDING
what’s going on?,en,PENDING
when it comes to doing sth,en,PENDING
when it comes to sth,en,PENDING
whether or not...,en,PENDING
why not...?,en,PENDING
with regard to sb,en,PENDING
with regard to sth,en,PENDING
with respect to sth,en,PENDING
with the exception of sb,en,PENDING
with the exception of sth,en,PENDING
work as sth,en,PENDING
work for sb,en,PENDING
work for sth,en,PENDING
work hard,en,PENDING
work on sth,en,PENDING
work out,en,PENDING
work sth out,en,PENDING
work together,en,PENDING
work together for sth,en,PENDING
work together to do sth,en,PENDING
work with sb,en,PENDING
worried about sb,en,PENDING
worried about sth,en,PENDING
would like,en,PENDING
would love to do sth,en,PENDING
would rather...,en,PENDING
would you like...?,en,PENDING
write sth down,en,PENDING
wrong with sb,en,PENDING
wrong with sth,en,PENDING
x days ago,en,PENDING
x days later,en,PENDING
x hours a day,en,PENDING
x minutes later,en,PENDING
x months ago,en,PENDING
x times a day,en,PENDING
x times a week,en,PENDING
x times a...,en,PENDING
x weeks ago,en,PENDING
x years ago,en,PENDING
x years later,en,PENDING
x years old,en,PENDING
year?,en,PENDING
you see,en,PENDING
you’ll get over it.,en,PENDING
you’re welcome,en,PENDING
